Type, Threads, Time, Evaluations
no-dis, 8, 18.516481, 174429
no-dis, 2, 861.921321, 3316258
no-dis, 2, 323.127997, 1183536
no-dis, 4, 95.637066, 505368
no-dis, 2, 513.706345, 1580214
no-dis, 2, 858.392412, 2920446
no-dis, 6, 23.697232, 174185
no-dis, 2, 737.044888, 2708409
no-dis, 2, 199.043655, 737589
no-dis, 6, 18.190137, 130739
no-dis, 8, 17.296877, 191473
no-dis, 2, 404.154653, 1403726
no-dis, 8, 13.096425, 120024
no-dis, 2, 589.305062, 2259900
no-dis, 6, 25.074472, 165477
no-dis, 2, 187.898359, 683928
no-dis, 2, 932.965386, 3190784
no-dis, 2, 125.519715, 444859
no-dis, 4, 75.464872, 351663
no-dis, 2, 863.605525, 3111058
no-dis, 4, 55.476624, 256983
no-dis, 8, 16.860666, 191431
no-dis, 8, 21.5529, 203496
no-dis, 8, 19.682802, 187237
no-dis, 2, 469.781581, 1679568
no-dis, 4, 32.23857, 148393
no-dis, 8, 13.076952, 124781
no-dis, 4, 65.134333, 302672
no-dis, 2, 129.71552, 478867
no-dis, 4, 53.445248, 282654
no-dis, 8, 19.874171, 189069
no-dis, 4, 63.662206, 289434
no-dis, 6, 26.352633, 212799
no-dis, 6, 50.367219, 367850
no-dis, 8, 18.221999, 200088
no-dis, 2, 75.747625, 278483
no-dis, 4, 96.78106, 451743
no-dis, 4, 141.679523, 645241
no-dis, 4, 201.204401, 894306
no-dis, 2, 251.642105, 874090
no-dis, 4, 84.777124, 394940
no-dis, 2, 129.195679, 491867
no-dis, 6, 51.463681, 351794
no-dis, 4, 27.37404, 191280
no-dis, 6, 26.830652, 183038
no-dis, 6, 19.813956, 144804
no-dis, 4, 57.391773, 271007
no-dis, 8, 17.948108, 168857
no-dis, 8, 15.516087, 131318
no-dis, 6, 18.163692, 120849
no-dis, 4, 51.206035, 228349
no-dis, 4, 23.90301, 170280
no-dis, 6, 21.458326, 157500
no-dis, 6, 24.906091, 184853
no-dis, 6, 26.587132, 177689
no-dis, 6, 29.949367, 218126
no-dis, 2, 742.531966, 2754538
no-dis, 8, 10.55844, 100135
no-dis, 8, 17.079628, 171559
no-dis, 8, 10.442262, 96140
